name,location,cuisines,rating,approx_cost
Chinese Kitchen,Basavanagudi,Chinese,3.8,150.0
1947,Banashankari,"North Indian, Chinese",4.0,850.0
Cake of the Day,Banashankari,Bakery,3.7,150.0
Kabab Magic,Basavanagudi,"North Indian, Kebab, Chinese, Fast Food",4.1,400.0
Namma Brahmin's Idli,Jayanagar,South Indian,3.6,100.0
Gustoes Beer House,Banashankari,"Continental, Italian, Mexican, North Indian, Chinese, Steak",4.1,1200.0
Sugar Rush,Banashankari,"Bakery, Desserts",3.8,300.0
Burger King,Basavanagudi,"Burger, Fast Food, Beverages",3.2,600.0
The Good Bowl,Banashankari,"Italian, North Indian, Biryani",3.6,500.0
The Biryani Cafe,Banashankari,"Biryani, Chinese, Kebab",4.1,300.0
Spicy Tandoor,Banashankari,North Indian,0.0,150.0
LSD Cafe,Banashankari,"Chinese, Continental, Italian, North Indian",2.9,700.0
Rolls On Wheels,Banashankari,"Fast Food, Rolls, Momos",3.6,300.0
Om Sri Vinayaka Chats,Banashankari,"Street Food, Fast Food",0.0,500.0
Sri Guru Kottureshwara Davangere Benne Dosa,Basavanagudi,South Indian,4.1,150.0
Devanna Dum Biriyani Centre,Banashankari,"Biryani, South Indian",3.6,300.0
Kolbeh,Banashankari,Fast Food,3.7,500.0
Upahar Sagar,Banashankari,"South Indian, Chinese, North Indian",3.8,350.0
Kadalu Sea Food Restaurant,Vijay Nagar,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",3.8,500.0
Frozen Bottle,Banashankari,"Beverages, Desserts, Ice Cream",4.2,400.0
Parimala Sweets,Banashankari,"Mithai, Street Food",3.5,200.0
Vaishali Deluxe,Banashankari,"North Indian, Chinese",3.8,700.0
Chill Out,Banashankari,"South Indian, Chinese",0.0,100.0
The Big O Bakes,Banashankari,"Bakery, Desserts",4.0,300.0
Meghana Foods,Jayanagar,"Biryani, North Indian, Chinese",4.4,600.0
Krishna Sagar,Banashankari,North Indian,3.5,200.0
Dessert Rose,Banashankari,Desserts,3.5,500.0
Chickpet Donne Biryani House,Banashankari,Biryani,3.7,250.0
Me And My Cake,Banashankari,"Bakery, Desserts",0.0,500.0
Sunsadm,Banashankari,South Indian,0.0,400.0
Annapooraneshwari Mess,Banashankari,South Indian,0.0,200.0
Thanco's Natural Ice Creams,Banashankari,Ice Cream,3.2,300.0
Nandhini Deluxe,Banashankari,North Indian,2.6,600.0
Vi Ra's Bar and Restaurant,Banashankari,"South Indian, North Indian, Chinese",3.3,800.0
Kaggis,Banashankari,"Fast Food, Bakery",3.8,250.0
Ayda Persian Kitchen,Banashankari,"North Indian, Iranian",3.7,950.0
Chatar Patar,Banashankari,"Fast Food, Street Food",3.7,300.0
Polar Bear,Basavanagudi,"Ice Cream, Desserts, Beverages, Sandwich",3.8,400.0
Kidambi's Kitchen,Banashankari,South Indian,3.5,300.0
Mane Thindi,Banashankari,South Indian,3.7,200.0
Kotian Karavali Restaurant,Banashankari,"South Indian, Biryani",3.5,300.0
Floured-Baked With Love,Banashankari,Bakery,3.8,400.0
Cakes & Slices,Banashankari,"Bakery, Desserts",3.5,300.0
Spice 9,Banashankari,"Biryani, North Indian, Chinese, Fast Food",3.4,300.0
Coffee Shopee,Banashankari,Beverages,0.0,250.0
Naveen Kabab & Biriyani Mane,Banashankari,Biryani,3.2,300.0
Katriguppe Donne Biryani,Banashankari,North Indian,3.2,300.0
Hari Super Sandwich,Banashankari,"Sandwich, Pizza, Beverages",0.0,200.0
Atithi Point Ande Ka Funda,Banashankari,North Indian,3.1,150.0
Just Bake,Banashankari,"Bakery, Desserts",3.4,400.0
Dharwad Line Bazaar Mishra Pedha,Banashankari,Mithai,0.0,150.0
Cake Bite,Banashankari,Bakery,0.0,300.0
Aarush's Food Plaza,Banashankari,"North Indian, Street Food",0.0,200.0
Wood Stove,Banashankari,South Indian,0.0,150.0
Kulfi & More,Banashankari,"Ice Cream, Desserts, Juices",0.0,150.0
Kannadigas Karavali,Banashankari,"Mangalorean, South Indian, North Indian",0.0,250.0
K27 - The Pub,Banashankari,"Chinese, North Indian",3.1,1000.0
Bengaluru Coffee House,Banashankari,"South Indian, North Indian, Chinese, Street Food",4.1,300.0
New Mangalore Lunch Home,Banashankari,"Mangalorean, South Indian, North Indian",3.3,200.0
Coffee Bytes,Banashankari,"Fast Food, South Indian",3.1,100.0
Parjanya Chat Zone,Banashankari,"Street Food, Fast Food",3.3,200.0
Kwality Wall's Swirl's Happiness Station,Banashankari,"Ice Cream, Desserts",2.9,200.0
Soms Kitchen & Bakes,Banashankari,"South Indian, North Indian, Continental",0.0,400.0
Banashankari Nati Style,Banashankari,"Biryani, Chinese, South Indian, North Indian",0.0,350.0
Ruchi Maayaka,Banashankari,South Indian,3.3,100.0
Mohitesh Hut Roll,Banashankari,"Rolls, North Indian",0.0,150.0
Sri Basaveshwar Jolada Rotti Oota,Banashankari,South Indian,0.0,150.0
Roll Magic Fast Food,Banashankari,"Biryani, Rolls, Chinese",0.0,200.0
Foodlieious Multi Cuisine,Banashankari,North Indian,0.0,100.0
Thanishka Nati And Karavali Style,Banashankari,"Biryani, Fast Food",0.0,400.0
Swathi Cool Point,Banashankari,"Beverages, Juices",0.0,200.0
Kaumudis Juoice,Banashankari,"Beverages, Fast Food, Juices",0.0,150.0
Amma - Manae,Banashankari,South Indian,0.0,400.0
Sri Sai Tiffannies,Banashankari,"South Indian, Chinese",0.0,150.0
Hotel Andhra Speices,Banashankari,Andhra,0.0,250.0
Sri Murari Family Restaurant,Banashankari,Biryani,0.0,250.0
Aramane Donne Biriyani,Banashankari,"South Indian, Biryani",0.0,150.0
Darkolates,Banashankari,Desserts,0.0,200.0
Swaada Healthy Kitchen,Banashankari,"Healthy Food, Juices, Sandwich",0.0,350.0
Gawdaru Mane Beriyani,Banashankari,"South Indian, Biryani",0.0,300.0
Melting Melodies,Banashankari,"Pizza, Fast Food",0.0,100.0
New Indraprasta,Banashankari,"South Indian, Beverages",0.0,150.0
Anna Kuteera,Banashankari,"South Indian, North Indian, Chinese",4.0,450.0
Darbar,Banashankari,"North Indian, Chinese",3.0,800.0
Vijayalakshmi,Basavanagudi,South Indian,3.9,200.0
Sri Udupi Food Hub,Jayanagar,"South Indian, North Indian, Chinese, Beverages",4.1,500.0
Udupi Upahar,Banashankari,"South Indian, Chinese, North Indian, Juices",3.8,300.0
House Of Kebabs,Basavanagudi,"North Indian, Kebab, Biryani, Chinese",3.8,650.0
Roll N Rock,Kumaraswamy Layout,"Chinese, North Indian, Mughlai, Rolls",3.8,400.0
BOX8- Desi Meals,Banashankari,"North Indian, Mughlai, Fast Food",4.1,500.0
KFC,Banashankari,"Burger, Fast Food",3.8,450.0
Bitez,Banashankari,Fast Food,0.0,100.0
Roll Over,Jayanagar,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",4.1,500.0
Imperial Restaurant,Mysore Road,"North Indian, Chinese, Biryani, Beverages",3.7,750.0
Lassi Shop,Kumaraswamy Layout,"Beverages, Juices, Ice Cream",3.9,150.0
The Fortuna,Kumaraswamy Layout,"North Indian, Chinese",3.0,250.0
Wahab,Jayanagar,"North Indian, Mughlai, Chinese",3.7,350.0
Al Diwan Biryanis And More,Basavanagudi,Biryani,3.3,300.0
New Gowda's Fried Chicken,Banashankari,Biryani,3.3,300.0
Canton,Jayanagar,"Chinese, Seafood, Biryani",3.6,800.0
Diabetics Dezire Sugarless Sweets and Bakes,Basavanagudi,"Desserts, Mithai",3.3,300.0
The Blue Wagon - Kitchen,Jayanagar,"Cafe, Beverages",4.6,400.0
HOT COFFEE,Basavanagudi,"South Indian, Chinese",4.1,150.0
Patio 805,Jayanagar,"Thai, Vietnamese, Asian, Chinese",4.1,1200.0
Lassi Corner,Basavanagudi,"Beverages, Ice Cream",3.7,150.0
Sagar Deluxe,Kumaraswamy Layout,"South Indian, North Indian, Chinese, Juices",3.2,300.0
Kanti Sweets,Banashankari,"Mithai, Street Food",4.0,400.0
Vegetalia,Banashankari,"Italian, Pizza",3.7,400.0
Aramane Donne Biryani,Banashankari,Biryani,3.5,200.0
Ande Ka Funda,Banashankari,"North Indian, Fast Food, Rolls",3.8,250.0
Cake Ghar,Basavanagudi,Bakery,3.8,400.0
Energy Addaa,Basavanagudi,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",4.2,500.0
Bhattara Bhojana,Banashankari,South Indian,3.6,150.0
Tandoori Knight,Banashankari,"North Indian, Chinese, Biryani, Kebab",3.0,450.0
Dev Sagar - Food Street,Basavanagudi,Street Food,4.1,200.0
Mitraa Da Pizza,Kumaraswamy Layout,"Fast Food, Pizza",3.8,250.0
Paradise Premium,Banashankari,"Biryani, Andhra, Hyderabadi, North Indian",3.1,700.0
Grazers,Jayanagar,"Cafe, Burger, Continental, Italian, Desserts",3.9,650.0
Shakes Theory,Jayanagar,"Beverages, Sandwich",4.5,300.0
@Italy,Kumaraswamy Layout,Italian,4.1,700.0
Chilli Flakes,Banashankari,"Fast Food, Italian, Beverages",3.6,500.0
Calcutta Cafe,Kumaraswamy Layout,"Bengali, Chinese, Sandwich",3.5,350.0
Old Mumbai Ice Cream,Banashankari,Ice Cream,3.9,150.0
Donne Biriyani House,Banashankari,"South Indian, North Indian, Chinese, Biryani",3.9,400.0
By 2 Coffee,Basavanagudi,South Indian,3.9,100.0
Kedia's Fun Food,Jayanagar,"North Indian, Street Food, Juices",4.3,200.0
Davangere Butter Dosa Hotel,Kumaraswamy Layout,South Indian,3.8,150.0
Just Shawarma,Kumaraswamy Layout,Arabian,3.9,300.0
Mini Punjabi Dhaba,Banashankari,North Indian,4.2,350.0
Mulabagilu Dosa,Basavanagudi,South Indian,3.6,100.0
Gokul Veg,Basavanagudi,"North Indian, Chinese, Beverages",3.8,750.0
Olive - Era,Kumaraswamy Layout,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",3.3,550.0
Udupi Ruchi,Banashankari,"South Indian, North Indian, Chinese, Street Food",3.9,200.0
Madhappa Hindu Military Hotel,Banashankari,South Indian,3.4,300.0
Gama Gama,Banashankari,South Indian,3.9,200.0
Pizza Hut,Banashankari,"Pizza, Fast Food",3.8,750.0
Mangalore Pearl,Jayanagar,"Mangalorean, Seafood, Chinese, Biryani",3.8,650.0
Asha Sweets Centre,Basavanagudi,Fast Food,3.6,250.0
Twiststick House,Basavanagudi,"Continental, Fast Food, Street Food, Momos",4.1,500.0
Cool Corner,Basavanagudi,"Street Food, Fast Food",4.2,250.0
Pizza Mane,Banashankari,"Pizza, Sandwich, Burger, Fast Food",3.5,150.0
Dal Tadkaa,Banashankari,North Indian,2.5,500.0
Chutney Chang,Jayanagar,"North Indian, Chinese, BBQ",4.1,1500.0
Mystique Palate,Jayanagar,"Chinese, Fast Food",4.1,300.0
Thamboola,Banashankari,"North Indian, Chinese, Continental",3.9,800.0
Castle Rock,Uttarahalli,"North Indian, Chinese",3.6,700.0
Vietnamese Kitchen,Banashankari,Vietnamese,3.6,700.0
C Corner,Kumaraswamy Layout,"Fast Food, Street Food",3.2,200.0
Paratha Merchant,Kumaraswamy Layout,North Indian,3.1,300.0
North Rasoe,Kumaraswamy Layout,"North Indian, Chinese, Biryani, Kebab",3.1,500.0
Inchara Restaurant,Basavanagudi,"North Indian, Chinese",0.0,300.0
Toscano,Jayanagar,"Italian, Salad",4.3,1300.0
Lord Of The Kitchen,Kumaraswamy Layout,"North Indian, Chinese",3.9,350.0
Stoned Monkey,Banashankari,"Desserts, Ice Cream",4.3,500.0
Central Jail Restaurant,Jayanagar,"Andhra, Seafood, North Indian, Chinese",3.8,700.0
Bella,Jayanagar,"Mangalorean, Seafood, South Indian",3.9,1000.0
Vennela Andhra Meals,Jayanagar,Andhra,3.0,400.0
New Prashanth Hotel,Jayanagar,"South Indian, Biryani, Chinese, North Indian",3.6,750.0
The Grillo,Jayanagar,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",2.8,500.0
Re Malnad Nati Style Hotel,JP Nagar,South Indian,3.6,400.0
Karma Kaapi,Jayanagar,"Beverages, Tea",4.4,250.0
Tiwari's,Jayanagar,"North Indian, Street Food",3.8,200.0
Pizza Stop,Basavanagudi,"Pizza, Italian",3.8,600.0
Biggies Burger 'n' More,Kumaraswamy Layout,"Cafe, Burger, Beverages",3.6,650.0
Kollapuri's,Basavanagudi,"South Indian, Mangalorean",3.9,450.0
Sugar Stars Co,Basavanagudi,"Bakery, Desserts",0.0,300.0
Bombay Kulfis,JP Nagar,Ice Cream,0.0,200.0
Kadamba Classic,Mysore Road,South Indian,3.6,300.0
RS Shiv Sagar,Basavanagudi,"North Indian, Chinese, South Indian, Fast Food, Juices",3.7,450.0
Kholi Mane,Basavanagudi,"Andhra, South Indian, Biryani, North Indian",3.6,450.0
Harshi Super Sandwich,Basavanagudi,"Fast Food, Street Food",3.8,150.0
Cake Yard,Basavanagudi,Desserts,3.4,250.0
Sri Udupi Veg,Jayanagar,South Indian,3.3,250.0
Cake Art,Basavanagudi,Bakery,3.5,400.0
Aahar Cafe,Basavanagudi,South Indian,0.0,100.0
Akash Gowdru Biryani Center,Uttarahalli,"North Indian, Chinese",0.0,300.0
New Sri Udupi Restaurant,Jayanagar,"North Indian, South Indian, Chinese, Beverages, Fast Food",0.0,200.0
Potato House,Uttarahalli,Street Food,3.4,200.0
Hotel Biriyani Counter,Vijay Nagar,"North Indian, Chinese, Biryani",0.0,350.0
Matru Sagar,Mysore Road,"South Indian, North Indian",3.7,300.0
Ugadi,Jayanagar,"North Indian, Chinese, Biryani, Andhra, Mangalorean",2.9,700.0
Sri Krishna Sweets,Basavanagudi,"Mithai, Desserts",3.7,250.0
In Time Cane Juice,Kumaraswamy Layout,"Juices, Beverages",3.5,100.0
Subway,Banashankari,"Salad, Fast Food",3.7,600.0
Daal Roti,Kumaraswamy Layout,"North Indian, Chinese",2.9,250.0
The Lassi Park,Jayanagar,"Juices, Desserts",4.1,200.0
Cafe Coffee Day,Jayanagar,"Cafe, Fast Food",3.2,900.0
A2B - Adyar Ananda Bhavan,Mysore Road,"South Indian, North Indian, Chinese, Street Food",3.8,400.0
Srikrishna Bhavan,Banashankari,"South Indian, North Indian, Chinese",3.8,300.0
Green Gardenia,Banashankari,"North Indian, Chinese",3.8,700.0
J Spice,Banashankari,"North Indian, Chinese",3.8,750.0
Karavali Family Restaurant,Jayanagar,"Seafood, Biryani, South Indian, North Indian, Chinese",3.5,500.0
Karavali Lunch Home,Kumaraswamy Layout,"South Indian, Mangalorean",3.7,350.0
Hatti Kaapi,Jayanagar,"South Indian, Beverages",4.0,200.0
Kolkata Kathi Roll's,Banashankari,"Fast Food, Rolls",3.6,250.0
Upahara Darshini,Basavanagudi,"North Indian, Chinese, South Indian, Fast Food",3.9,600.0
The Chaat Shop,Basavanagudi,Fast Food,2.5,200.0
Anda Ka Funda,Jayanagar,"North Indian, Chinese, Rolls",3.4,250.0
Shri Vinayaka Ice N Juice,Basavanagudi,"Beverages, Fast Food",3.2,150.0
Ibaco,Jayanagar,Desserts,3.9,300.0
Jalaram Sweets,Jayanagar,"Desserts, Mithai",3.8,250.0
Samskruti - Sanman Gardenia,Jayanagar,"North Indian, Chinese, South Indian",4.1,550.0
Bendakaluru Bytes,Vijay Nagar,Fast Food,3.2,300.0
Cocoa Bakes,Banashankari,"Bakery, Desserts",3.6,350.0
Chumma Delicious,Banashankari,"South Indian, Fast Food",3.7,200.0
New Prashanth Hotel,Banashankari,"Biryani, North Indian, Seafood, Andhra",3.9,650.0
SSV Upahar,Jayanagar,"South Indian, Chinese",0.0,300.0
Dwaraka Grand,Kumaraswamy Layout,"South Indian, Chinese, Street Food, Juices",3.9,500.0
Gufha - The President Hotel,Jayanagar,"North Indian, Afghani, Mughlai",4.1,1200.0
Tanna's Kitchen,Kumaraswamy Layout,"Italian, Chinese, Street Food",3.1,250.0
Shree Mandarathi Grand,Uttarahalli,"South Indian, North Indian",3.7,400.0
Mojo Pizza - 2X Toppings,Banashankari,Pizza,4.2,600.0
Iceberg Icecreams,Basavanagudi,"Desserts, Ice Cream",4.0,250.0
South Kitchen,Basavanagudi,South Indian,4.3,100.0
Chung Wah,Jayanagar,"Chinese, Thai, Momos",3.7,850.0
Shanthi Sagar,Uttarahalli,"South Indian, North Indian, Chinese",3.1,400.0
Millet Mama,Basavanagudi,"South Indian, Healthy Food",3.9,200.0
Bangarpet Chat Express,Basavanagudi,"Street Food, Fast Food",3.3,100.0
South Cool Point,Basavanagudi,Beverages,0.0,100.0
Prems Graama Bhojanam,Jayanagar,South Indian,4.3,400.0
Java City,Jayanagar,"Cafe, American, Pizza",2.6,450.0
Kamat Bugle Rock,Basavanagudi,"South Indian, Fast Food",3.9,300.0
Puliyogare Point,Basavanagudi,South Indian,4.2,100.0
Bangalore Agarwal Bhavan,Jayanagar,"Street Food, North Indian, South Indian",3.9,400.0
Rustic Stove,Jayanagar,"North Indian, South Indian, Biryani, Beverages",3.8,900.0
Udupi Ruchi Grand,Banashankari,"South Indian, North Indian, Chinese, Street Food",4.2,200.0
De Thaali,Jayanagar,"North Indian, Chinese, Rolls",3.9,550.0
Just Thindi,Basavanagudi,South Indian,3.6,200.0
Matru Sagar,Banashankari,"South Indian, North Indian, Chinese",3.6,250.0
Vasanth Vihar - Since 1965,Banashankari,"South Indian, Street Food",3.6,150.0
Sea Spice by 7 Star,Banashankari,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",4.0,1200.0
Desi Dawat,Kumaraswamy Layout,"North Indian, Fast Food",3.7,400.0
Cafe Aira,Basavanagudi,"Cafe, Continental, Beverages, Desserts",4.1,500.0
Donne Biriyani combos,Kumaraswamy Layout,Biryani,0.0,400.0
Mast Punjabi,Kumaraswamy Layout,"North Indian, Chinese, Rolls, Biryani, Kebab",2.6,400.0
South Grand,Uttarahalli,"South Indian, North Indian, Chinese, Beverages",3.4,400.0
The Pizzeria,Banashankari,"Pizza, Italian, Salad",2.8,800.0
Cafe Zone,Kumaraswamy Layout,"Fast Food, Chinese, Rolls",3.9,300.0
Ruchis Point,Banashankari,"Fast Food, Chinese",3.8,200.0
Firangi Bake,Rajarajeshwari Nagar,"Mexican, Italian",4.0,600.0
The Royal Corner - Pai Viceroy,Jayanagar,"North Indian, Chinese",4.2,900.0
Hara Fine Dine,Banashankari,"North Indian, Chinese",4.0,800.0
Chocoberry,Jayanagar,"Ice Cream, Desserts, Beverages",3.5,400.0
Dakshin Grand,Banashankari,"South Indian, North Indian, Chinese, Street Food",3.0,300.0
Sandwichwallas,Jayanagar,Fast Food,3.7,200.0
Chai Mane,Basavanagudi,"Juices, Fast Food",3.6,150.0
SLV Upachar,Kumaraswamy Layout,"South Indian, Chinese, Street Food",3.1,250.0
Waffle-A-Go Go,Banashankari,"Fast Food, Desserts, Ice Cream",3.9,400.0
Cross Road Cafe,Jayanagar,"Cafe, Fast Food, Chinese",3.9,300.0
Anand Donne Biriyani,Jayanagar,Biryani,3.6,200.0
Seven Star,Banashankari,"North Indian, Chinese",3.4,250.0
Stop 'N' Joy,Banashankari,Fast Food,3.8,150.0
Sri Yaksha Shiv Sagar,Banashankari,"North Indian, Chinese",3.6,600.0
Fudge,Basavanagudi,"Desserts, Momos",3.8,200.0
Just Bunny,Jayanagar,Fast Food,3.5,200.0
Bakers Town,Kumaraswamy Layout,"Cafe, Continental, Fast Food",3.8,650.0
Shree Mahalakshmi Sweets,Banashankari,"Mithai, Street Food",3.2,100.0
Kaapi Kendra,Jayanagar,South Indian,3.7,100.0
Ivy,Kumaraswamy Layout,"North Indian, Chinese, Fast Food",3.8,600.0
The Airos,Jayanagar,"Cafe, Italian, Pizza",4.1,650.0
Chai Kraft,Jayanagar,"Beverages, Tea",4.1,100.0
South Point Pub,Basavanagudi,"North Indian, Seafood, Chinese",3.4,800.0
The Trundle,Jayanagar,"Chinese, Thai, Continental, North Indian",3.7,700.0
The Krishna Grand Xpress,Jayanagar,"South Indian, Fast Food",4.0,350.0
Sri Krishna Darshini,Basavanagudi,"South Indian, North Indian, Chinese",3.1,200.0
Shringar Sweets & Snacks,Basavanagudi,"Mithai, South Indian, Street Food, Fast Food",3.5,200.0
Udupi Grand,Basavanagudi,"South Indian, North Indian, Chinese",3.8,300.0
Ganesh Grand,Basavanagudi,"South Indian, North Indian, Desserts",3.7,300.0
Shreyas Upahar & Burger Point,Basavanagudi,"South Indian, Burger",3.0,200.0
Little Cafe,Basavanagudi,"Cafe, Beverages",3.7,600.0
Mumbai Badam Milk & Lassi Center,Basavanagudi,"Beverages, Desserts",3.6,100.0
Sri Krishna Sagar,Banashankari,"North Indian, Chinese",3.2,400.0
Mylari Biryani Family Restaurant,Banashankari,"Biryani, Fast Food",3.7,400.0
1980s Games Cafe,Basavanagudi,"Cafe, Fast Food",3.4,400.0
Kadala Tarangaa,Banashankari,"Mangalorean, Seafood, North Indian",3.6,600.0
Namma Biryani,Banashankari,"Biryani, Chinese, North Indian",3.6,250.0
Nandhanu's Rasoi,Kumaraswamy Layout,"Chinese, North Indian",3.0,400.0
Hotel Pork Paradise,Mysore Road,South Indian,3.7,300.0
As On Fire,South Bangalore,"Pizza, Fast Food, BBQ",3.5,400.0
J K Fish Land,Jayanagar,"Seafood, Mangalorean",3.6,300.0
Curry Leaves,Basavanagudi,"Andhra, North Indian, Chinese",4.1,800.0
Lassi Shop,Banashankari,"Beverages, Ice Cream, Fast Food",3.5,300.0
Magic Meals,Jayanagar,"Fast Food, Desserts, Beverages",3.7,400.0
Desi Cream Junction,Jayanagar,"Chinese, North Indian, Pizza, Italian",3.7,650.0
Drunken Monkey,Kumaraswamy Layout,"Beverages, Fast Food",3.8,400.0
Ruchi's Corner,Banashankari,Fast Food,2.7,200.0
Tandoori Bytes,Kumaraswamy Layout,North Indian,3.6,700.0
Bangalore Donne Biriyani,Kumaraswamy Layout,"South Indian, Biryani",3.2,300.0
SGS Non Veg - Gundu Pulav,Banashankari,"Biryani, Fast Food",3.8,400.0
Keventers,Banashankari,"Desserts, Beverages, Ice Cream",3.7,400.0
Sree Sagar,Banashankari,South Indian,0.0,200.0
Navi Food Point,Basavanagudi,Fast Food,3.6,200.0
Shawarma Inc,Banashankari,"Rolls, Lebanese",3.1,250.0
The Cafe Nuts and Bolts,Kumaraswamy Layout,"Cafe, Fast Food, Chinese",3.0,500.0
AM WOW,Jayanagar,Beverages,3.4,100.0
Lalbagh Grand,Basavanagudi,"South Indian, North Indian, Chinese",3.0,250.0
Funjabi Curries,Banashankari,North Indian,2.9,500.0
Eat Repeat,Basavanagudi,South Indian,3.9,150.0
Salut,Jayanagar,"Continental, Finger Food, Seafood, Pizza",4.1,1200.0
Nammura Donne Biriyani,Basavanagudi,"Biryani, Fast Food",3.5,400.0
Lassi Stop,Banashankari,"Beverages, Fast Food, Juices",3.4,150.0
Dakshin Kitchen,Basavanagudi,South Indian,3.6,100.0
Sri Sai Cafe,Basavanagudi,South Indian,3.5,200.0
Sri Sai 99 Variety Dosa,Banashankari,South Indian,3.8,300.0
